source_group,target_group,ligand,receptor,pathway,ligand_mean,receptor_mean,ligand_pct,receptor_pct,score,reference
Secretory,Ionocyte,EGF,EGFR,EGF-EGFR,0.010662103,2.5787716,0.5218377765173,68.87755102040816,0.027495129,Shaykhiev 2017
Secretory,Suprabasal,EGF,EGFR,EGF-EGFR,0.010662103,2.5648727,0.5218377765173,79.89548109437442,0.027346937,Shaykhiev 2017
Ciliated,Basal,BMP4,BMPR1A,BMP,0.10407738,0.25766137,4.137022397891963,9.290629962943356,0.02681672,Epithelial differentiation
Ciliated,Ciliated,WNT5A,FZD6,Wnt,0.025270099,1.0492047,1.0540184453227932,37.391304347826086,0.026513506,Planar polarity
Ciliated,Secretory,BMP4,BMPR1A,BMP,0.10407738,0.25407016,4.137022397891963,11.026659103800341,0.026442956,Epithelial differentiation
Suprabasal,Basal,DLL1,NOTCH2,Notch,0.11461787,0.23012502,5.072241008300031,8.655373213340392,0.02637644,Basal cell fate
Basal,Ionocyte,BMP4,BMPR1A,BMP,0.108450375,0.24103297,4.129168872419269,8.16326530612245,0.026140116,Epithelial differentiation
Ciliated,Ionocyte,BMP4,BMPR1A,BMP,0.10407738,0.24103297,4.137022397891963,8.16326530612245,0.025086079,Epithelial differentiation
Secretory,Basal,DLL1,NOTCH1,Notch,0.050149634,0.48648515,2.1554169030062393,16.860772895712017,0.024397053,Basal cell fate
Ciliated,Secretory,LTC4S,CYSLTR1,CysLT,0.3713606,0.06508077,14.09749670619236,2.994895065229722,0.024168434,Ualiyeva 2020
Suprabasal,Basal,BMP4,BMPR1A,BMP,0.09218986,0.25766137,4.303719643406087,9.290629962943356,0.023753766,Epithelial differentiation
Suprabasal,Secretory,BMP4,BMPR1A,BMP,0.09218986,0.25407016,4.303719643406087,11.026659103800341,0.023422694,Epithelial differentiation
Suprabasal,Basal,DLL1,NOTCH3,Notch,0.11461787,0.19764137,5.072241008300031,7.5966119640021175,0.022653233,Basal cell fate
Ionocyte,Hillock,DLL1,NOTCH1,Notch,0.49789733,0.04543789,16.83673469387755,1.9197207678883073,0.022623405,Basal cell fate
Secretory,Secretory,LTC4S,CYSLTR1,CysLT,0.34446028,0.06508077,13.726602382302893,2.994895065229722,0.022417739,Ualiyeva 2020
Suprabasal,Ionocyte,BMP4,BMPR1A,BMP,0.09218986,0.24103297,4.303719643406087,8.16326530612245,0.022220796,Epithelial differentiation
Secretory,Ionocyte,DLL1,NOTCH2,Notch,0.050149634,0.4385875,2.1554169030062393,15.306122448979592,0.021995002,Basal cell fate
Suprabasal,Ciliated,DLL1,NOTCH2,Notch,0.11461787,0.18702771,5.072241008300031,7.430830039525691,0.021436717,Basal cell fate
Basal,Hillock,DLL1,NOTCH1,Notch,0.44593656,0.04543789,14.849126521969296,1.9197207678883073,0.020262416,Basal cell fate
